Index,City,lon,lat
144,Pontarlier,"6,354242","46,9041039"
145,Martigny,"7,0755334","46,1049798"
146,Bourg-Saint-Maurice,"6,769548","45,618598"
147,Bourgoin-Jallieu,"5,27212","45,597108"
148,Montereau-Fault-Yonne,"2,956193","48,384734"
149,Brest,"-4,486076","48,390394"
150,Auray,"-2,983767","47,666491"
151,Saint-Malo,"-2,025674","48,649337"
152,Cholet,"-0,879787","47,59407"
153,Brioude,"3,386482","45,295564"
154,Figeac,"2,032871","44,608288"
155,Toulouse,"1,444209","43,604652"
156,Lavelanet,"1,851472","42,937653"
157,Narbonne,"3,003078","43,184277"
158,N�mes,"4,360054","43,836699"
159,Cuneo,"7,5426711","44,3844766"
160,Bourg-d'Oisans,"6,030064","45,51951"
161,Roanne,"4,072695","46,34432"
162,C�rilly,"2,822083","46,6176"
163,�tampes,"2,16142","48,434416"
164,London,"-0,1277583","51,5073509"
165,Dunkirk,"2,3767763","51,343684"
166,Waregem - Compi�gne,"3,4231675","50,8868949"
167,Villers-Cotter�ts,"3,0908159","49,255061"
168,Chablis,"3,800451","47,815269"
169,Semur-en-Auxois,"4,33234","47,490238"
170,Le Grand-Bornand,"6,426699","45,942027"
171,Val-d'Is�re,"6,980226","45,448034"
172,Albi,"2,1486413","43,9250853"
173,Mazamet,"2,376579","43,490103"
174,Foix,"1,605232","42,964127"
175,Orthez,"-0,7739279","43,48756"
176,Cahors,"1,441989","44,4475229"
177,Cognac,"-0,328744","45,691046"
178,Marcoussis,"2,2298809","48,642446"
179,Strasbourg,"7,7521113","48,5734053"
180,Obernai,"7,48168","48,46226"
181,Esch-sur-Alzette,"5,9860925","49,5008805"
182,Huy,"5,2396656","50,5187153"
183,Beauvais,"2,0807123","49,4295387"
184,Lisieux,"0,227849","49,145922"
185,Saint Gr�goire,"-1,683146","48,153561"
186,Saint-M�en-le-Grand,"-2,192985","48,189812"
187,Cambo-les-Bains,"-1,3999053","43,3605565"
188,Luchon,"0,592943","42,788963"
189,B�ziers,"3,215795","43,344233"
190,Morzine,"6,708877","46,179192"
191,Le Creusot,"4,4278","46,805351"
192,Antony/Parc de Sceaux,"2,3102324","48,7706912"
193,Fromentine,"-2,140027","46,889175"
194,Challans,"-1,880412","46,844828"
195,La Ch�taigneraie,"6,1715518","46,3400962"
196,Chambord,"1,516878","47,614158"
197,Lun�ville,"6,492339","48,592237"
198,Pforzheim,"8,6946286","48,8921862"
199,Courchevel,"6,63469","45,414659"
200,Miramas,"5,002136","43,588896"
201,Agde,"3,4768109","43,3088031"
202,L�zat-sur-L�ze,"1,346575","43,276267"
203,Mourenx,"-0,620552","43,368262"
204,Corbeil-Essonnes,"2,474805","48,6102599"
205,Charleroi,"4,444643","50,4108095"
206,Waterloo,"4,3991","50,71469"
207,Amiens,"2,295753","49,894067"
208,Ch�teaubriant,"-1,3762239","47,720948"
209,Lamballe,"-2,517322","48,468637"
210,Saint-L�onard-de-Noblat,"1,486205","45,8367"
211,Saint-Flour,"3,094862","45,33026"
212,Castelsarrasin,"1,107132","44,39889"
213,Valr�as,"4,989187","44,383724"
214,Annemasse,"6,234158","46,193253"
215,Paris,"2,3522219","48,856614"
216,Saint-Denis,"2,357443","48,936181"
217,La Fert�-sous-Jouarre,"3,130059","48,950507"
218,Charleville-M�zi�res,"4,726096","49,762085"
219,Joinville,"-48,8452269","-26,2834213"
220,Nevers,"3,162845","46,990896"
221,Lyon,"4,835659","45,764043"
222,Gaillac,"1,896506","43,9018159"
223,Bagn�res-de-Bigorre,"0,1491049","43,65093"
224,Dax,"-80,320987","25,85059"
225,Pornic,"-2,104444","47,115491"
226,Ville-d'Avray,"2,1886944","48,8270042"
227,Luxembourg City,"6,1319346","49,611621"
228,Metz,"6,1757156","49,1193089"
229,Soissons,"3,32342","49,376636"
230,Forges-les-Eaux,"1,545886","49,613311"
231,Bagnoles-de-l'Orne,"-0,415091","48,558399"
232,Saint-Martin-de-Landelles,"-1,172382","48,546107"
233,Lanester,"-3,347354","47,763494"
234,Bazas,"-0,211464","44,430624"
235,Lod�ve,"3,313975","43,73366"
236,Les Deux Alpes,"6,1248743","45,176294"
237,Aime,"-73,9960432","40,720603"
238,Cluses,"6,580582","46,6039"
239,R�gni�-Durette,"4,64105","46,136803"
240,Melun,"2,6554","48,542105"
241,Saint-Omer,"2,252208","50,750115"
242,Calais,"1,858686","50,95129"
243,Verdun,"5,3844231","49,1598764"
244,Commercy,"5,592348","48,763802"
245,Aix-les-Bains,"5,908998","45,692341"
246,Perpignan,"2,8948332","42,6886591"
247,Brive-la-Gaillarde,"1,533937","45,159555"
248,Montlu�on,"2,6019912","46,3415466"
249,Orl�ans,"1,909251","47,902964"
250,Futuroscope,"0,3697581","46,6698573"
251,Loudun,"0,083183","47,89674"
252,Nantes,"-1,553621","47,218371"
253,Vitr�,"-1,21543","48,124746"
254,Agen,"-94,6039222","39,957618"
255,Carpentras,"5,048722","44,555639"
256,Avignon,"4,805528","43,949317"
257,Draguignan,"6,464993","43,5377269"
258,�vian-les-Bains,"6,590949","46,401488"
259,Lausanne,"6,6322734","46,5196535"
260,Freiburg,"7,8421043","47,9990077"
261,Le Puy du Fou,"-0,9281158","46,8896024"
262,Montaigu,"-1,313777","46,974347"
263,Laval,"-73,712409","45,6066487"
264,Avesnes-sur-Helpe,"3,926864","50,123589"
265,Sestri�res,"6,8790861","44,9578505"
266,Saint-Galmier,"4,318391","45,590322"
267,Jonzac,"-0,431058","45,445368"
268,Arpajon,"2,246237","48,589172"
269,Dublin,"-6,2603097","53,3498053"
270,Enniscorthy,"-6,5727721","52,5031135"
271,Roscoff,"-3,985325","48,726199"
272,Plouay,"-3,334565","47,915138"
273,La Ch�tre,"1,986165","46,581832"
274,Meyrignac-l'�glise,"1,854589","45,399074"
275,Montauban,"1,3529599","44,221252"
276,Tarascon-sur-Ari�ge,"1,604815","42,848524"
277,Frontignan la Peyrade,"3,726749","43,427008"
278,Vizille,"5,772412","45,77318"
279,La Chaux-de-Fonds,"6,8327838","47,1034892"
280,Montceau-les-Mines,"4,362979","46,67413"
281,Saint-Valery-en-Caux,"0,708557","49,860582"
282,Vire,"-0,888482","48,837781"
283,Plumelec,"-2,639409","47,837699"
284,Chantonnay,"-1,050176","46,6870819"
285,Le Blanc,"-86,7529347","21,1260383"
286,Marennes,"-1,103998","45,823752"
287,Sauternes,"-0,343268","44,531032"
288,Andorra Arcalis,"1,4992993","42,6313635"
289,Fribourg,"7,1619719","46,8064773"
290,Montb�liard,"6,798466","47,510356"
291,Disneyland Paris,"2,7758079","48,8722344"
292,'s-Hertogenbosch,"5,3036748","51,6978162"
293,Wasquehal,"3,130782","50,669276"
294,Lac de Madine,"5,736175","48,9216184"
295,Le Mon�tier-les-Bains,"6,507839","44,976254"
296,Turin,"7,686864","45,703393"
297,Valence,"-94,7349372","36,5983395"
298,Besse,"2,9012932","45,4978927"
299,Argel�s-Gazost,"-0,101087","43,5028"
300,Pamplona,"-1,6457745","42,812526"
301,Hendaye,"-1,766148","43,359399"
302,Palaiseau,"2,245748","48,714509"
303,Saint-Brieuc,"-2,765835","48,51418"
304,Perros-Guirec,"-3,444943","48,815456"
305,Mayenne,"-0,6185636","48,3050874"
306,Alen�on,"0,091266","48,432856"
307,F�camp,"0,380774","49,755601"
308,La Plagne,"6,6765547","45,5082417"
309,Saint-Orens-de-Gameville,"1,533877","43,551879"
310,Montpon-M�nest�rol,"0,162","45,9274"
311,Lac de Vassivi�re,"1,879167","45,797222"
312,Sainte-Genevi�ve-des-Bois,"2,3259213","48,6408416"
313,Lille,"3,057256","50,62925"
314,Roubaix,"3,177847","50,6927049"
315,Dover,"1,3134027","51,1278758"
316,Portsmouth,"-70,7625532","43,717552"
